platform,kind,gene,mu,sd
v3,ieg,Btg2,0.4150781333446503,1.3071461915969849
v3,ieg,Egr1,0.4941853582859039,1.7710243463516235
v3,ieg,Fos,0.6217091679573059,1.6351079940795898
v3,ieg,Fosb,0.17843669652938846,0.8255748748779297
v3,ieg,Gm13889,0.16882281005382538,1.0852601528167725
v3,ieg,Junb,0.2799151539802551,1.3436084985733032
v3,ieg,Nr4a1,0.9737211465835572,2.419721364974976
v3,ieg,Nr4a2,0.07783086597919464,0.634416401386261
v3,ieg,Pcdh10,3.1392767429351807,7.2659125328063965
v3,ieg,Srxn1,0.8347423672676086,1.9029703140258791
v3,act,1110004E09Rik,2.9768970012664795,2.587012529373169
v3,act,1110008P14Rik,2.3505196571350098,2.232275009155273
v3,act,1700016K19Rik,1.9393393993377688,2.1490488052368164
v3,act,1810058I24Rik,0.8201693892478943,1.333064317703247
v3,act,2010107E04Rik,9.477553367614746,4.816626071929932
v3,act,2210016L21Rik,2.950725078582764,2.652377128601074
v3,act,2410004P03Rik,1.570624589920044,1.9178792238235476
v3,act,2410015M20Rik,2.5555920600891118,2.3329548835754395
v3,act,6430548M08Rik,1.3719589710235596,1.9196864366531368
v3,act,9530034E10Rik,0.9435927867889404,2.1195447444915767
v3,act,A430035B10Rik,1.7657390832901,2.3424184322357178
v3,act,Abhd16a,5.870199680328369,3.7857282161712646
v3,act,Acbd7,13.256425857543945,6.108069896697997
v3,act,Actr1b,2.5392067432403564,2.4397687911987305
v3,act,Adh5,3.080305814743042,2.591442584991455
v3,act,Aebp2,1.1207631826400757,1.641873121261597
v3,act,Aes,2.4295923709869385,2.321178436279297
v3,act,Ago2,1.4017618894577026,1.857513785362244
v3,act,Ahi1,3.3793630599975586,3.0415656566619877
v3,act,Ak1,10.392345428466797,5.729388236999513
v3,act,Ak2,0.946707844734192,1.5068807601928709
v3,act,Anapc16,1.5978050231933594,1.8690402507781985
v3,act,Ankrd10,1.2359530925750732,1.807138204574585
v3,act,Ankrd54,2.2595670223236084,2.3973093032836914
v3,act,Anp32a,1.540934443473816,1.839791774749756
v3,act,Ap1g1,0.7220919728279114,1.2542706727981567
v3,act,Arfgef3,0.7823578715324402,1.375584840774536
v3,act,Arglu1,5.706154823303223,4.0157856941223145
v3,act,Arhgap17,0.8372781872749329,1.4370137453079224
v3,act,Arhgdig,3.4341444969177246,3.0608642101287837
v3,act,Arhgef28,1.959004640579224,2.19312596321106
v3,act,Arid5b,0.374826580286026,0.9712153673171996
v3,act,Arih1,0.8000910878181458,1.336107611656189
v3,act,Arl6,2.520087242126465,2.2990186214447017
v3,act,Arpc5l,3.0105407238006587,2.5713915824890137
v3,act,Ascc1,1.836639761924744,2.251187801361084
v3,act,Atf5,39.02950286865234,13.085004806518555
v3,act,Atox1,22.98014831542969,10.506744384765623
v3,act,Atp1a1,14.644317626953125,6.949216842651367
v3,act,Atp2b1,3.223118305206299,2.8581664562225337
v3,act,Atp5j,10.432446479797363,4.958576202392578
v3,act,Atp5k,9.191612243652344,4.9671053886413565
v3,act,Atp5o,11.658409118652346,5.526094436645508
v3,act,Atp6v1f,2.720134973526001,2.3464527130126958
v3,act,Auh,1.179423689842224,1.5629876852035522
v3,act,Azin1,1.1150628328323364,1.5840730667114258
v3,act,B230118H07Rik,1.8091827630996704,1.9990087747573853
v3,act,BC005537,1.6608794927597046,1.941068410873413
v3,act,BC005561,2.1051113605499268,2.372433662414551
v3,act,Bad,1.7040894031524658,1.950801372528076
v3,act,Bax,1.5555648803710938,1.806494951248169
v3,act,Bbs4,1.535885214805603,1.855300545692444
v3,act,Bcl11a,1.6556705236434937,2.0407538414001465
v3,act,Bcl7a,2.6272165775299072,2.602407932281494
v3,act,Bex3,2.5956718921661377,2.365006446838379
v3,act,Bmpr1a,0.4036950170993805,0.9447285532951356
v3,act,Bmpr2,1.5830144882202148,1.983750581741333
v3,act,Bphl,1.6493034362792969,1.9090424776077268
v3,act,Braf,1.2761540412902832,1.7187271118164062
v3,act,Brinp2,1.4763849973678589,1.98034930229187
v3,act,Btg2,0.3086793124675751,1.0864177942275999
v3,act,C1qbp,1.3971542119979858,1.7448377609252932
v3,act,Cacna1h,1.8392375707626345,2.1091878414154053
v3,act,Cbr1,1.4362508058547974,1.7374728918075562
v3,act,Cby1,2.3744301795959477,2.3522768020629883
v3,act,Ccdc157,3.1307482719421387,2.7754099369049072
v3,act,Ccdc189,1.3604719638824463,1.7895089387893677
v3,act,Ccdc28b,1.3212199211120603,1.8198314905166624
v3,act,Ccdc34,2.8711426258087163,2.6786551475524902
v3,act,Ccdc40,1.3338220119476318,1.7786314487457275
v3,act,Cd47,3.690870761871338,3.235377550125122
v3,act,Cd82,1.5798760652542114,1.9441756010055544
v3,act,Cdc14a,0.6118204593658447,1.1988962888717651
v3,act,Cdkn1a,1.004678726196289,1.8757094144821167
v3,act,Cebpb,1.9673215150833132,2.60504150390625
v3,act,Cenpx,1.3969619274139404,1.7530468702316284
v3,act,Cep290,2.9684233665466313,2.8992393016815186
v3,act,Cers5,1.9181888103485107,2.0729880332946777
v3,act,Cfap126,2.799328565597534,3.026288747787476
v3,act,Cfap69,5.6480793952941895,3.846082210540772
v3,act,Chd4,2.7064013481140137,2.6623353958129883
v3,act,Cib1,2.0520293712615967,2.1205472946166988
v3,act,Cidea,2.230914831161499,3.79719352722168
v3,act,Cirbp,4.6753106117248535,3.390326738357544
v3,act,Cisd1,5.439599514007568,3.304521083831787
v3,act,Clcn3,1.1094143390655518,1.61100435256958
v3,act,Cldn3,2.5603067874908447,2.6777091026306152
v3,act,Cldn9,2.0974378585815434,2.234474897384644
v3,act,Cngb1,3.600388765335083,3.010298252105713
v3,act,Cnppd1,1.59026300907135,1.9717788696289065
v3,act,Coa3,1.770859956741333,1.9424872398376465
v3,act,Commd6,1.749031662940979,1.907970070838928
v3,act,Cpeb4,1.4652882814407349,1.9345289468765257
v3,act,Cry2,0.6860823035240173,1.268301010131836
v3,act,Ctsa,2.156196117401123,2.24582314491272
v3,act,Ctxn3,15.472577095031738,8.686081886291504
v3,act,Cuta,1.69222092628479,1.9093585014343264
v3,act,D1Ertd622e,0.5370611548423767,1.1701991558074951
v3,act,D430042O09Rik,2.042348623275757,2.227952480316162
v3,act,Daam1,0.6110126376152039,1.2304586172103882
v3,act,Ddx3x,1.5941534042358398,1.9696022272109983
v3,act,Ddx5,18.8911075592041,7.262242317199707
v3,act,Dleu2,1.3659008741378784,1.9719048738479612
v3,act,Dmkn,1.1508595943450928,2.351067543029785
v3,act,Dnaja1,4.719865798950195,3.4576740264892583
v3,act,Dnajb13,2.1588988304138184,2.283475637435913
v3,act,Dnajb2,2.6585369110107417,2.5371389389038086
v3,act,Dnajb9,2.4117798805236816,3.358933687210083
v3,act,Dnajc15,2.152118682861328,2.145196914672852
v3,act,Dph3,1.1128106117248535,1.5683001279830933
v3,act,Dpm3,1.6325984001159668,1.872929811477661
v3,act,Dpy30,1.9831397533416748,2.025266170501709
v3,act,Drc1,1.4526196718215942,1.841974377632141
v3,act,Dtd1,1.4530946016311646,1.7633880376815796
v3,act,Dtna,1.716820478439331,2.0674080848693848
v3,act,Dusp14,2.24382758140564,2.5278539657592773
v3,act,Dynlrb2,2.373566150665283,2.3302626609802246
