Figure,genotype,environment,odor,time,source,orig_ident,median # of UMI,median # of Genes,# of single OR mOSNs,10x kit version,with transcriptional inhibitors
"1,2,4",WT,home-cage,N/A,N/A,baseline-cage,baseline-1,11516,3751,6323,3.1,YES
"1,2,4",WT,home-cage,N/A,N/A,baseline-cage,baseline-10,11503,3806,7257,3.1,YES
"1,2,4",WT,home-cage,N/A,N/A,baseline-cage,baseline-2,12998,3975,5507,3.1,YES
"1,2,4",WT,home-cage,N/A,N/A,baseline-cage,baseline-3,13455,4023,5610,3.1,YES
"1,2,4",WT,home-cage,N/A,N/A,baseline-cage,baseline-4,14710,4154,6115,3.1,YES
"1,2,4",WT,home-cage,N/A,N/A,baseline-cage,baseline-9,10736,3671,7533,3.1,YES
1,S50->M72,home-cage,N/A,N/A,S50->M72,5072-1,2234.5,1199.5,186,2,NO
1,S50->M72,home-cage,N/A,N/A,S50->M72,5072-2,4285,2005,459,2,NO
1,M72->S50,home-cage,N/A,N/A,M72->S50,7250-1,2452,1230,219,2,NO
1,M72->S50,home-cage,N/A,N/A,M72->S50,7250-2,3219,1538,619,2,NO
1,P2iGFP,home-cage,N/A,N/A,P2iGFP,P2G-1,2438,1278,555,2,NO
1,P2iGFP,home-cage,N/A,N/A,P2iGFP,P2G-2,6333,2559.5,386,2,NO
1,OMPiGFP,home-cage,N/A,N/A,OMPiGFP,OMP1,4705.5,2146,1444,2,NO
1,OMPiGFP,home-cage,N/A,N/A,OMPiGFP,OMP2,4481,2103,1415,2,NO
1,OMPiGFP,home-cage,N/A,N/A,OMPiGFP,OMP3,4957,2258,2154,2,NO
1,OMPiGFP,home-cage,N/A,N/A,OMPiGFP,OMP4,4931,2269,1908,2,NO
1,WT,home-cage,N/A,N/A,WT20w,WT20w1,5883,2535,1893,2,NO
1,WT,home-cage,N/A,N/A,WT20w,WT20w2,5789,2494.5,1958,2,NO
1,WT,home-cage,N/A,N/A,WTMOE,WTMOE1,4053,1947,3640,2,NO
1,WT,home-cage,N/A,N/A,WTMOE,WTMOE2,3959,1921,4153,2,NO
1,WT,home-cage,N/A,N/A,control,control1,5817,2482,1875,2,NO
1,WT,home-cage,N/A,N/A,control,control2,5946,2523.5,1980,2,NO
1,WT,home-cage,N/A,N/A,inhibitor,inhibitor1,5464,2379,2437,2,YES
1,WT,home-cage,N/A,N/A,inhibitor,inhibitor2,5446,2360,2606,2,YES
"3,4",WT,home-cage,N/A,4wk,ChronicOccl-1,ChronicOccl-1L,6126.5,2734,5746,3.1,YES
"3,4",WT,home-cage,N/A,4wk,ChronicOccl-1,ChronicOccl-1R,6840,2961,4961,3.1,YES
"3,4",WT,home-cage,N/A,4wk,ChronicOccl-2,ChronicOccl-2L,6682.5,2879.5,5726,3.1,YES
"3,4",WT,home-cage,N/A,4wk,ChronicOccl-2,ChronicOccl-2R,6203,2770,5695,3.1,YES
"3,4",WT,home-cage,N/A,4wk,ChronicOccl-3,ChronicOccl-3L,6531,2861,5841,3.1,YES
"3,4",WT,home-cage,N/A,4wk,ChronicOccl-3,ChronicOccl-3R,7286,3075,4599,3.1,YES
3,Arrb2KO,envA,cage,5d,Arrb2KO-envA5d,Arrb2KO-envA5d-1,9683,3488.5,5516,3.1,YES
3,Arrb2KO,envA,cage,5d,Arrb2KO-envA5d,Arrb2KO-envA5d-2,8790,3315,7302,3.1,YES
3,Arrb2KO,home-cage,cage,14d,Arrb2KO-cage,Arrb2KO-cage-1,9491,3589,6393,3.1,YES
3,Arrb2KO,home-cage,cage,14d,Arrb2KO-cage,Arrb2KO-cage-2,8341,3328,6951,3.1,YES
3,Arrb2KO,home-cage,cage,0h,Arrb2KO-1ON,Arrb2KO-1ON-1,8801,3290,6388,3.1,YES
3,Arrb2KO,home-cage,cage,0h,Arrb2KO-1ON,Arrb2KO-1ON-2,8554.5,3252,6002,3.1,YES
3,WT,home-cage,ACE2h,2h,v3-ACE2h-1,v3-ACE2h-1,6087,2567,6385,3,YES
