,Dorsal,Ventral,Anterior,Posterior,Cd36,High,Low,GEP 8,GEP 9,GEP 10,GEP 11 (UPR),GEP 12,GEP 13,GEP 14,GEP 15,GEP 16
1110004E09Rik,0.0,0.0018084079720281179,0.00014642057328388962,0.0015882906214705567,0.000986536088064223,0.000987721037594452,0.0014576088672924063,0.0009941336304941483,0.001918049168806236,0.002510856161017264,0.0010684072985633402,0.0021037186756018883,0.0013419604821678934,0.000305357589497627,0.0016165106979677995,0.0
1500015A07Rik,0.0002137207488138404,0.0003510984170758238,0.0014388923687024468,0.00033296357778287583,0.0007125344848090342,0.0004708829976758072,0.00028382261323406594,0.0,0.0019336866031783532,0.0009695786708366199,0.0003361420908630907,0.0005505672357919908,0.0007052864893149885,0.0001144782749437227,0.0009133920742432263,9.24845171651333e-05
1700012B09Rik,0.001952463646680714,0.0013012753383903855,0.0,0.003959024403126913,0.0004101043161133715,0.0013588650547637481,0.0036998716052866966,0.002292228002588673,0.0033192397180841662,0.004427061810301136,0.0008719047819496395,0.005756617082435119,0.001731196818484095,0.0013657353920218775,0.00022451475519351982,0.0
1700017B05Rik,0.0007361423141016294,0.001526390815138991,0.0005434103953274489,0.00046515245074999585,0.000661843114315767,0.0,0.0008078387170106768,0.0,0.001381522764243145,0.00037021658411779274,0.005241171596912404,0.00017367690750329465,0.0004863583174768821,0.0005497179141094622,0.0004455221596905464,0.0
1700097N02Rik,0.0,0.00013756641125468137,0.0,0.00104529923580697,0.0,0.0,0.0013955140202381064,0.0,0.0,0.0,0.0,0.0,0.0004045675509028122,0.0,9.083547807628118e-05,0.0
2010001K21Rik,0.0,0.0,0.0020403153735862787,0.0,0.0,0.0,0.0,0.0,0.0,0.0009140549686297057,0.0,0.0,0.0,0.0,0.0,0.0
2010204K13Rik,0.0,0.000867011383103759,0.00013828371005346785,0.0024462691204699205,0.0,0.0017432000738184367,0.0,0.0014170737275141195,0.0003572584540107376,0.00107276654261043,0.00024192069212542345,0.0012614506429201424,0.0,0.0,0.0,0.0
2010300C02Rik,0.0,0.0017775286015917283,0.00030286316868283555,0.0,0.0003441854306369318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2310040G24Rik,0.0,0.0015631263746116015,0.00029217811945389543,2.9185148028067508e-05,0.00018327492396443766,0.0004629359654102066,0.00031005547270809456,0.0004404090391051196,0.0013131125709869424,0.001252265094584402,0.001160536608226675,0.0007458490060615762,0.00010874067607728345,0.0,0.00020951006035565054,0.0
2410004P03Rik,0.0007727797631499374,0.0007625148481028021,0.0,0.0013266695806716101,0.0005427498036260057,0.0,0.0013078243560968388,0.0011080066196096972,0.001256130670222755,0.0012746552214412926,0.0006832352214551514,0.0025730359626058475,0.0006245981713252465,0.0,0.0006736253182040243,0.00024290776497100543
2610037D02Rik,0.0003715958860825079,0.0,0.001897827687205793,0.0006570352777066589,0.0009480203079106737,0.00043511473816462714,0.0007775816679361531,0.0002065359855710685,0.001556785030756131,0.00017678691901065968,0.0004555446301222736,0.0,0.0007527870177466273,0.0011599596465693477,0.0010710433497176475,0.001913231049060314
2810001G20Rik,0.0034046395474425736,0.0,0.00045963076272453906,0.0,0.000271664618327673,0.0,0.00045661498887631887,0.004097046972152185,0.0,0.0,0.0017408960492897787,0.0007438769242622217,0.00019401662397040216,0.0,0.0015386878094064338,0.0
2810468N07Rik,0.0,0.0007115650505631723,0.000640159615364137,0.0,0.0014760606897478228,0.0,0.00020647504977810676,0.0,0.0011530561136436168,9.273378861219973e-05,0.0,6.0580902515478556e-05,0.0,0.0,0.0014491888427520866,0.0
2900079G21Rik,0.0,0.0,0.001764258907682086,0.0,0.0004398050869156419,0.0,0.0003681465067134814,0.0,2.6671827107229226e-05,0.00046807310988405693,0.0,0.0,2.3566454282399493e-05,0.0,0.0006118030990615324,0.0
2900093K20Rik,0.0005361971398364742,0.00040628523768503495,0.0012017663071449928,0.0004253599655483361,0.0007176688289330306,0.00041063390072183803,0.0003672565185869681,0.0,0.0019576697228881356,0.00020941014506778283,0.0,0.0007180634903118014,0.0014542607177376419,0.0,0.0028796683929657274,3.2709978168141566e-05
3632451O06Rik,0.00022549576469658002,0.002290782576692681,0.0,0.001308103537498267,0.0008124490198635114,0.00020758076213167376,0.0005776903420176754,0.0005343803119077894,0.0,0.001275931509287106,0.0,0.0006231014950242578,0.0005141049929247094,0.0018703006956132281,0.001813043929077782,0.001853378285320135
4930515B02Rik,0.0,0.0,0.0,0.0011089493773582325,0.0,0.0,0.0017530913675934028,0.00032690417792204536,0.0,2.5693396861869308e-05,0.0,0.0,0.00030544273195361914,0.0,0.0,0.0
4930570G19Rik,0.0020957578237860482,1.1016124181317001e-05,0.0006373774929145672,0.0004370737067242476,0.0005112580568291208,0.0004010121171374941,0.0006511729544748932,0.0001404275347148713,0.0009485297331982372,1.9504250326265144e-05,2.1060630492977765e-05,0.0002530059077204113,0.00019112780084002326,0.0003283790723998758,0.0,0.0
4930581F22Rik,3.173770688665623e-05,0.0,0.0,0.0011408992716174888,0.002032908086445769,0.0,0.0011726938000557107,0.0026922785229422756,0.001111585695027272,0.0,0.0,0.0,0.001625938015809356,0.00013832234390856677,0.0,0.0006153091278058454
4932412D23Rik,0.001206979542846153,0.0,0.0,0.0,0.0,0.0,0.0008067777366244542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002987566839540611,0.0
4932441J04Rik,0.0,0.0,0.0005267355242795557,0.0009868856601962467,0.0007406622688539953,0.00021816852586736712,0.0,0.0005701433292368203,3.3846289866141026e-05,0.0,0.0,0.0,0.00022107964945960911,0.0,9.234285304883425e-05,0.0
5031439G07Rik,0.00043486935562609856,0.0014525285852956156,0.0,0.0006040066631813362,0.00023132442180493151,0.0,0.0009263192175635869,0.0,0.0,0.0008372587860387772,0.00044980000817916523,0.0,0.0019810845233639305,0.0007835875349352132,0.00029047700728649284,0.0
5330413P13Rik,0.0009462247078839858,0.00023694421031045064,0.0017278800869253458,0.0010900529506325132,0.0008865146465480303,0.00018472473719868018,0.000982182998466601,0.0,0.0029749270468180772,0.0018484687927046261,0.0008262566878476964,0.0007412065660837807,0.0015766186317889071,0.000506888138473177,0.00098554714044082,0.0
5330434G04Rik,0.0,0.00046734526810017463,0.0,0.00027107535276837074,0.0,0.0009327587989079952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5330438D12Rik,4.132541771095164e-05,0.0003899704849497902,0.0015208786744917366,0.00029731901131737097,0.0006640846291192993,0.0005388154157096438,0.00016842402895039893,0.0,0.002190929369482203,0.0008495187158838514,0.0,0.0008546973643787599,0.0011449277952563822,0.0,0.0008804028722383047,0.0
5530401A14Rik,0.0,0.0006772268960917991,0.0,0.0003839743405366996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5730403I07Rik,0.00042440826831898214,0.000168224220841358,0.0,0.00031285671194478294,0.0011481135012228866,0.0042030600202979575,0.0,0.0021301038839768075,0.0018640951936738641,0.0,0.00017499922474133452,0.0,0.00012042135437943947,0.0006930481141245999,0.0007856353988397648,0.0
