,activation_score_loading,ess_correlation,p_adj_ACE2h,ctl_expr_ACE2h,expression_ACE2h,p_adj_OCT2h,ctl_expr_OCT2h,expression_OCT2h
Tsc22d1,0.24130762566668376,0.10638968217269706,5.338302081336373e-09,7.784047,28.023338,5.7641278473453855e-12,8.543381,34.996384
Rcan1,0.23594157987265663,0.05289747227154862,5.338302081336373e-09,0.16025643,1.7186962,9.672865047350386e-12,0.17373356,2.3344162
Fosb,0.22845309939671687,0.024940219285914944,8.944987773394463e-09,0.026371548,0.95576805,6.642464932624729e-12,0.033757884,1.3841691
Pcdh10,0.20203019406057202,0.0868582946374219,5.338302081336373e-09,0.4163146,17.536272,5.7641278473453855e-12,0.22547363,13.535156
Dusp14,0.18932247228323676,-0.008329159327194358,1.710216140006638e-07,2.434246,4.8123326,5.770829486140171e-10,2.409951,4.887967
Srxn1,0.1659579923571227,0.1441397432020709,5.338302081336373e-09,0.3937012,3.5148294,5.7641278473453855e-12,0.39184874,2.3618922
Gm13889,0.16582235002598686,0.12128288891876593,2.0633398528045463e-08,0.03878927,1.2585715,5.153046132696617e-11,0.02367857,0.8962711
Golga4,0.1550982823279006,-0.23409403744365953,1.6838098220188725e-06,2.9990058,4.795026,5.153046132696617e-11,2.8050582,5.138745
Heg1,0.14910700910501914,0.11675460775523994,5.338302081336373e-09,0.35948712,2.0014317,5.7641278473453855e-12,0.4057745,2.4125156
Cdkn1a,0.1429883728087438,0.1318518708806109,5.338302081336373e-09,0.7312281,3.0373075,7.45864025447753e-11,0.8436236,2.3955963
Gpr137c,0.1419611098019052,-0.16719491716363333,5.807463627789623e-09,0.33525234,1.4595393,9.294456851588237e-12,0.36059487,1.8244776
Zfp655,0.1348244624658039,-0.10093973869300421,5.559339213559711e-07,0.3218896,1.0079589,2.748383881066223e-08,0.41299433,0.96490574
Ublcp1,0.12758950860381302,0.0519526391776437,6.827938729458372e-09,0.50340146,1.735555,1.7892977779713508e-11,0.59408116,2.6109164
Efr3b,0.1268717059207731,-0.0696785653125187,1.0248554928999346e-08,1.8364465,5.1936316,1.5558240338815995e-10,1.2991256,3.2792358
Etf1,0.1260305307017209,0.12371973319489304,5.338302081336373e-09,0.7297296,1.8883827,1.1336831255018953e-11,0.6530309,1.8370644
Srrm4,0.11755171319271762,0.2881264483426671,5.338302081336373e-09,1.134824,3.711537,5.7641278473453855e-12,1.1470608,3.7051783
Epcam,0.11244285077841461,-0.35126663270970315,5.807463627789623e-09,6.568524,11.058673,1.250652477215198e-11,6.4764314,11.286711
Trp53inp2,0.11022558980623162,0.3544665100811111,5.338302081336373e-09,0.5454519,2.0701501,5.7641278473453855e-12,0.5993894,2.6244807
Arhgap17,0.10352552646408658,-0.26970848904791866,4.324156996385349e-07,0.8207004,1.8677112,1.410832890558874e-08,0.8336623,1.6793627
Ric8b,0.09955622405224461,0.2281458284222776,1.030334982520984e-07,10.748062,14.937315,1.4434791044408196e-10,10.19224,14.5656595
9530034E10Rik,0.09837991141618524,-0.04463542087231698,6.132545004504569e-09,0.6052616,1.9418542,6.146514090916034e-12,0.96113914,3.0973556
Oaz2,0.09798461898152612,-0.04994559756363781,1.1547801523939882e-08,1.774643,2.9780812,2.477930946858165e-08,1.6595415,2.5772476
Ctxn3,0.09190016674802746,0.07802274828754119,1.8666902054399606e-06,15.579151,20.953047,1.6812871854045174e-05,16.189066,20.148693
Slc38a2,0.09000461704133178,-0.07103156351412099,5.338302081336373e-09,0.6049878,2.149366,1.2309143939982617e-11,0.5195923,2.072361
Exoc6b,0.08921391848234943,-0.19408689289843783,1.1440524871669172e-08,2.855421,5.42913,4.2779403684558125e-10,3.011884,4.874893
Nfatc1,0.08879840638820469,0.06176154365226094,2.6587977023493842e-05,1.0555886,1.7092296,3.5861608366721944e-10,0.96801746,1.7841815
Junb,0.08817722538351022,0.10684854109760245,5.338302081336373e-09,0.06683349,1.4743801,6.146514090916034e-12,0.0506703,1.8302494
Tle3,0.08783662860593519,0.034117748499548184,6.132545004504569e-09,1.051335,2.932008,5.468349165536881e-11,0.9906846,3.1034477
Siah2,0.08705912520207851,-0.14793125587538158,9.137362040757131e-05,0.91345274,1.5082153,3.9064934035549985e-05,1.0729083,1.5276039
Fos,0.08471136334857238,0.20076841601414264,5.338302081336373e-09,0.31313998,2.4481254,5.7641278473453855e-12,0.25595745,3.209244
March7,0.08082458582598268,-0.045451677728964635,0.00026319150931466235,0.7762969,1.2209953,2.6708408918899177e-08,0.85255617,1.484647
Ago2,0.07985737300530792,-0.09970242631023796,2.619192638657839e-06,1.2113134,2.1940799,2.8986097108155707e-11,1.2554688,2.6599958
Arhgef28,0.07902539365338204,-0.01440626619406804,3.5120521553533745e-06,2.1486752,3.156077,3.455127210407247e-05,1.9277328,2.5783625
Ddx3x,0.0761578656071979,0.05205034773898054,7.50254383574796e-08,1.5518107,2.7472198,1.7729204622584258e-10,1.3968346,2.6017573
Hspa8,0.07566584193363383,0.30256714758137526,9.163828587702748e-09,10.14408,15.373659,1.753862943233057e-11,10.256931,15.402316
Hnrnph3,0.068765891124648,0.12280929477324332,2.7256991281643038e-05,2.3408632,3.409676,0.00022515573911967608,2.1455486,2.9396605
Erf,0.0667712314517286,0.04797164792018571,0.00044042026361774137,0.57318544,0.9268935,5.2373341157817056e-08,0.5071564,0.9869206
Ak2,0.06551280111508655,-0.0003877597250832032,1.192860929816448e-05,0.8179815,1.3208193,0.000122721837277519,1.0834032,1.604206
Pnrc1,0.06546923109471184,-0.011996199874387825,5.6046052778275075e-09,2.5031106,5.3694854,5.87701274852677e-12,2.1592865,4.855229
Mafg,0.06488664894068134,-0.08580987097573178,4.468069047960291e-05,1.3486122,2.0898583,4.2953258867331875e-07,1.2099795,2.0825903
D1Ertd622e,0.06467106127255774,-0.22412808579812205,4.66376838108134e-05,0.4455021,0.8796996,7.029404654245784e-05,0.4571949,0.83586556
Arid5b,0.06413252841963112,0.10853525162320166,6.016611868162879e-07,0.30457664,0.8094966,4.385345249199919e-07,0.35885388,0.88313854
Scn3b,0.06410878156151044,0.25401274426591125,5.338302081336373e-09,1.6926116,4.2126956,7.008214971051235e-12,1.6165445,3.834254
Phtf2,0.06302579508618834,0.02777795954608764,1.2880246274938615e-08,0.60389745,2.1160276,9.97764124717294e-12,0.60109115,1.7855467
Hsph1,0.06271517996804692,0.2387606561280834,4.023922913625074e-06,0.84838426,1.5430324,2.8220172436152163e-08,0.8803703,1.72925
Cpeb4,0.06266617770166213,0.23734295966853436,5.338302081336373e-09,1.2189591,3.0349836,6.642464932624729e-12,1.3170308,2.9566705
Ubc,0.06263572440235211,0.17944982840898616,6.186483459614215e-07,4.1829033,6.540539,0.0005535616368815565,3.9603016,5.4137483
Sema7a,0.06181181540095674,0.25240138749506047,5.338302081336373e-09,0.8530336,5.196564,5.7641278473453855e-12,0.8945021,4.8573637
Dleu2,0.061329710043146336,0.07482519885399763,5.870888159046243e-09,1.3071464,2.9567797,6.146514090916034e-12,1.250307,3.0395381
Rc3h1,0.05967784878037316,0.08051521075565726,1.025991174111481e-05,0.5071196,0.9224905,5.7413195441943396e-08,0.56075245,1.184096
Pcnx4,0.05679583486151206,-0.008395898387971945,5.9577744366629704e-05,0.4514624,0.8171247,0.00013010273645063406,0.5307684,0.8190836
Btg2,0.05471719741933791,0.0864337227602523,5.338302081336373e-09,0.23713022,2.4223795,6.084931360396273e-12,0.21168794,1.5499701
6430548M08Rik,0.054484616628167046,0.3431612434138187,1.2880246274938615e-08,1.3918309,2.597981,4.3724751377782664e-10,1.4370501,2.7182207
Selenok,0.054404561204686265,0.0885927006511732,3.747478483978371e-08,9.3004465,12.231706,1.6431937530576995e-11,9.239644,12.381005
Psmd8,0.054117821247851174,-0.03301740478165294,4.171875313380008e-07,2.5902858,3.9814014,6.085750397314482e-11,2.6971176,4.30667
Map9,0.052485824582823824,0.026904925949185476,0.0008725520168852463,1.2547754,1.737352,0.0001816014606095944,1.3191416,1.7506536
Cry2,0.05227485267105883,-0.10830486353638258,6.300682961500045e-08,0.605291,1.3351698,3.207057386516466e-08,0.6249073,1.1333079
Hspa4l,0.05159623671534157,-0.03862693566460007,7.128557136254299e-06,1.0391414,1.8436302,1.6088853800020511e-09,0.96128005,1.667898
Mcl1,0.051489540176304825,0.02536595547058651,7.63987749314297e-05,0.4553403,0.83448684,1.0279080582467038e-06,0.47909522,0.8939637
Dnaja1,0.05004353534811792,0.2393351938681939,2.1172462887769863e-08,4.7568874,6.618269,6.642464932624729e-12,4.453058,7.359319
