ensembl_gene_id,external_gene_name,mgi_symbol,mgi_description,chromosome_name,start_position,end_position,TSS_diff,cluster_3Mb_bychr,OR_class
ENSMUSG00000067064,Olfr1416,Olfr1416,olfactory receptor 1416,1,92475925,92485113,0,01-1,class2
ENSMUSG00000057464,Olfr1415,Olfr1415,olfactory receptor 1415,1,92489101,92496101,13176,01-1,class2
ENSMUSG00000042849,Olfr1414,Olfr1414,olfactory receptor 1414,1,92506366,92518661,17265,01-1,class2
ENSMUSG00000058904,Olfr1413,Olfr1413,olfactory receptor 1413,1,92571322,92574397,64956,01-1,class2
ENSMUSG00000046300,Olfr1412,Olfr1412,olfactory receptor 1412,1,92585779,92591375,14457,01-1,class2
ENSMUSG00000062497,Olfr1411,Olfr1411,olfactory receptor 1411,1,92594411,92597753,8632,01-1,class2
ENSMUSG00000063583,Olfr1410,Olfr1410,olfactory receptor 1410,1,92605782,92614806,11371,01-1,class2
ENSMUSG00000061616,Olfr12,Olfr12,olfactory receptor 12,1,92617788,92623412,12006,01-1,class2
ENSMUSG00000037924,Olfr16,Olfr16,olfactory receptor 16,1,172950409,172958357,80332621,01-2,class2
ENSMUSG00000062527,Olfr1408,Olfr1408,olfactory receptor 1408,1,173128049,173137374,177640,01-2,class2
ENSMUSG00000058981,Olfr1406,Olfr1406,olfactory receptor 1406,1,173181853,173190640,53804,01-2,class2
ENSMUSG00000046643,Olfr218,Olfr218,olfactory receptor 218,1,173197808,173206336,15955,01-2,class2
ENSMUSG00000049456,Olfr1404,Olfr1404,olfactory receptor 1404,1,173212392,173218583,14584,01-2,class2
ENSMUSG00000049605,Olfr418,Olfr418,olfactory receptor 418,1,173266001,173273994,53609,01-2,class2
ENSMUSG00000045381,Olfr433,Olfr433,olfactory receptor 433,1,174040705,174044411,774704,01-2,class2
ENSMUSG00000047048,Olfr432,Olfr432,olfactory receptor 432,1,174049205,174054752,8500,01-2,class2
ENSMUSG00000050134,Olfr430,Olfr430,olfactory receptor 430,1,174066605,174072273,17400,01-2,class2
ENSMUSG00000049528,Olfr429,Olfr429,olfactory receptor 429,1,174084331,174091343,17726,01-2,class2
ENSMUSG00000059371,Olfr427,Olfr427,olfactory receptor 427,1,174096891,174103224,12560,01-2,class2
ENSMUSG00000046486,Olfr231,Olfr231,olfactory receptor 231,1,174113211,174121162,16320,01-2,class2
ENSMUSG00000051528,Olfr424,Olfr424,olfactory receptor 424,1,174131517,174138257,18306,01-2,class2
ENSMUSG00000055033,Olfr420,Olfr420,olfactory receptor 420,1,174155633,174162195,24116,01-2,class2
ENSMUSG00000050788,Olfr419,Olfr419,olfactory receptor 419,1,174248514,174252061,92881,01-2,class2
ENSMUSG00000066672,Olfr417,Olfr417,olfactory receptor 417,1,174365122,174374472,116608,01-2,class2
ENSMUSG00000059503,Olfr248,Olfr248,olfactory receptor 248,1,174391046,174392055,25924,01-2,class2
ENSMUSG00000051509,Olfr414,Olfr414,olfactory receptor 414,1,174424064,174434747,33018,01-2,class2
ENSMUSG00000066671,Olfr220,Olfr220,olfactory receptor 220,1,174442082,174451277,18018,01-2,class2
ENSMUSG00000056379,Taar1,Taar1,trace amine-associated receptor 1,10,23920356,23921469,0,10-1,Taars
ENSMUSG00000059763,Taar2,Taar2,trace amine-associated receptor 2,10,23938572,23941583,18216,10-1,Taars
ENSMUSG00000069708,Taar3,Taar3,trace amine-associated receptor 3,10,23949558,23950589,10986,10-1,Taars
ENSMUSG00000069707,Taar4,Taar4,trace amine-associated receptor 4,10,23960494,23961537,10936,10-1,Taars
ENSMUSG00000069706,Taar5,Taar5,trace amine-associated receptor 5,10,23970706,23971719,10212,10-1,Taars
